sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
3952AEB8067A6AD0E393DCDC9DFD98FB9668F1DA8C1EBFBD4F7D41702A191B1F,0196AB3DE707FBA8137ADB7376E0EADDBFF06FEA,FA7DA81DE710F87B79B30F8B755CD5FA,1981-01-01 01:01:02,45643982,com.guide.ballistics.target,224,0.0,2025-11-16 10:56:19,11394216,play.google.com
F3CCE435A5B436123D604A398599A4F713B841C1E578094ECF5452EDBDD3B316,9D7CD794B8C457B2EA12821C1DB5011AED5EF1ED,B40C812E5531BB42AB4ACA9F7F1AD481,1981-01-01 01:01:02,13629705,com.hauvv.utmconverter,15,1.0,2025-09-10 08:52:11,8525548,play.google.com
CE8E866AA485ED9858CB049AA34E88CDFC72B63D78A736C71D9B02958C3DC849,F00E298F81620B8BBEF4EEBE4E2073AD4B129FD9,D6FE41B9AF88341B332A97073620AB80,1981-01-01 01:01:02,42307681,com.imptt.proptt,540,,,7582356,play.google.com
AA2EF84C70A7D387FDF8C6AE84A8131876EA5092AB975EA40A703F92987EB7CD,4FB819662CE48E0D4AF5676106217DCABF2F3882,9B2DBD39A369381AA7F9AAEC5DC857C4,1981-01-01 01:01:02,19715463,com.jetlab.chairgunelite,169,0.0,2026-01-15 08:30:47,7843152,play.google.com
7FCF30A57455FD044FEF8042B03D2B7B1C882189267148E527F2ED97CE188972,FC53BB5ED4DA6CB41027A5692818700312353DD3,194A9BED3DB22311A9081B2C672B548C,1981-01-01 01:01:02,110150305,com.leicacamera.leicaballistics.ab,325,0.0,2026-01-15 08:26:36,8547184,play.google.com
17CA94DCA08E85D74FA1A4D0607ABCE5AA44C343E8086A1E09018CF29E658726,7153AAC1A930E252CD67BD9A026A9B182320E9E5,743E99F41D076325D041382BC927E237,1981-01-01 01:01:02,21904539,com.militarygradeapps.acftfitness,18,0.0,2025-09-27 07:17:35,13670432,play.google.com
FE39FC2755EE7EABDD99F6C236E252A4224ADBE779E722EFFF69F819DA6A8DAB,FF58A01DDA588687C931E833733491267E786947,9F672992DC34C9BCA73A5AC280050267,1981-01-01 01:01:02,139917364,com.myvirtualmission.android,106,0.0,2025-12-12 02:56:42,13367732,play.google.com
711446097DB10C395E37CAA281D494631A21ECFBDD585517A02D1D8178390E3A,0FC82692AFF0E9BBC066A184D21C28CF03AB872E,7EC55A51046F13083F11C35D75D2E67C,1981-01-01 01:01:02,16713861,com.nkhome.link.ballistics,335,0.0,2025-10-18 06:44:38,5462456,play.google.com
00B57DCC9CE286066476AF72EF1C70BA708C433BCBC2AA40B163B93C4361F6A7,C94EF237FD36316813AAAA93685BB67CD65A8759,7107F4987E066E366BBC9311EF7B3374,1981-01-01 01:01:02,3586140,com.none.tom.exiferaser,42,0.0,2025-10-25 17:19:54,2569084,play.google.com
E69D62DF3646616FA580AB07FBB9F9D9FA541387FA20F7C768444FA284A7F22D,346285C1F1C266ACBEC3D9E6DD26D8063A103BC1,1B0D53B05C290A2A2BF60F8F27C727E4,1981-01-01 01:01:02,10994176,com.onbeep.obiwan,25433,,,9832840,play.google.com
3E2D1E6F1E0667624B1CF9F0B476BA8544518327F5E264DF8BD43FA374D89330,3CCAA9901D892EE6B52EB4CF3D0282F45B9E57F8,C47131875B0EFC965D4560BDFA2BE044,1981-01-01 01:01:02,101949233,com.oyak.mobil,49,0.0,2023-12-14 06:51:25,7478080,play.google.com
CF71265E8AC9099320407E509FFE8136B7ADF4D5BC72519A57293702E6F8906A,3F28C8A4DA8A15EE3829DA9FCB10D0974AB26C17,6D7E6F10D70B06C46110ED54551D3275,1980-01-01 00:00:00,35269530,com.oyak.mobile,39,0.0,2021-12-29 14:53:37,6300472,play.google.com
FE15F085ECA164880AB5E61926C77036FBEF854E7612F3E8A9E0E66F9F854BE8,798BBC5C35DA90E5B68157987EEADE12497D6FD7,984B1D57EE9A9D9F91187E9750440325,1981-01-01 01:01:02,6511777,com.pangu.devgpl,62,0.0,2024-10-03 06:02:02,7462240,play.google.com
08C05C2707AC7633E7B38122F0AF951DB6938D404BA446A0104FE3DC6CCF0693,EA40A19AFA2219571366562453BA749404939B12,76563D130A5FEA5133B563E85099B4A2,1981-01-01 01:01:02,1978274,com.patricksmith.USAF_PT_Calculator,3,0.0,2023-12-02 07:10:35,736320,play.google.com
8F3F3DEB435B526FFECA544EA1099FA384CBD9A4CA6ED3C69AE87BEAFA24974E,181D27F10179C4790A6915DA3B7F0108E5EA57C4,A3BE46F467254964B2389F1D3EA1BE92,1981-01-01 01:01:02,41192057,com.promobitech.oneteam,62,0.0,2023-12-09 10:03:21,7717520,play.google.com
2A4F038863C008883B916C054723BA79C2CF015F980CE7278ECC971B4EC7CAC4,C3D8EC044FD6BC29A0CA90D483E096262E200F88,57683B7D5FB997F2A93CAE6A62436C2E,1981-01-01 01:01:02,11980133,com.reaperdevs.aftcalc,21,0.0,2025-11-05 10:48:38,9009864,play.google.com
08BC2B8EA1505349CDD9E27055CB2457D152192FA5F5B8BC9446656B56B14125,4B1B8D2251E436B8AED456EAE2DAC3149752B475,B47D5FF1436BF9D6FEC691BEBD6A70A5,1981-01-01 01:01:02,26639417,com.rrivenllc.armyfitnessapp,68,0.0,2025-09-08 07:53:31,7747452,play.google.com
CD5B16128F55EE9E442E26BF9261BD6BE85C24ADF932F4872E7B0D182F0AC393,B94F180D289FC94890333F9C6E8D4AB1EC645A06,209407FD8BC7C8CEE66ED8535F9F1852,1981-01-01 01:01:02,70665769,com.sigsauer.bdx,453,0.0,2025-11-11 10:13:26,8968152,play.google.com
4ADE7AEA5C3325DEDCB45B3B59B8122FED0EB4404D47728D1212337ACEC90C31,0BC039BE7866965BBBE8B7A8DA2802D3BFAA7C23,D9965E3713D1250DAFEB74D925AC30D1,1981-01-01 01:01:02,10178553,com.slacorp.eptt.android,71590,0.0,2025-10-14 07:13:29,8102996,play.google.com
85006B8F062F13928C47B8FAA878275A03E48B2976F170481B1BEC488B76FC87,0AE91BCF3B2506AA606B8EE276DAC617A2ED733D,623B32A34C03113B43B3337A3C581C77,1981-01-01 01:01:02,4780008,com.slide2talk.android.app,114016,0.0,2025-01-14 07:04:15,5742152,play.google.com
9B5440C5B61E481995B498489C67D6819402C9DB85C359676E16F724C9ECEF8D,756154C87FA00EDEEBD7EB25B9108A2F9598554F,89A16915702FCDE6122173C135F832D9,1981-01-01 01:01:02,116827866,com.suleymaner.coordinatorplus,203,0.0,2025-09-06 08:22:00,9160716,play.google.com
69339F5A992D3641A27B17EDF2CA59B2C17DCB3EB61108C17639C2492DCB2310,0443EB31B9243FEE11D4D2FA5883FA0B93DDB574,97F29AFE258D4CAEBC0582EBD1C51F48,1981-01-01 01:01:02,58296565,com.tellotechnologies.buzz,7009,0.0,2025-11-19 09:33:23,8846536,play.google.com
467D2653215AF36982BD5BD61BF63CBFDD6164E64A303576FF0CD2CBD7D6C5B5,E25906417E837554F775A60715DBAC3B35E822F0,F7A512CF791B5746D59F71CD29BF80C2,1981-01-01 01:01:02,11195028,com.tortel.deploytrack,32,0.0,2024-10-15 05:57:36,9931080,play.google.com
5B821844F685991C39830C33C1FC7B486B1A8A264A62B358EFE36A8E17F78FF8,678A041137C3D176989007A363F1CB399B8B378E,103BA4DA9382766A6131FBF8A7C92B08,1981-01-01 01:01:02,9113471,com.trtalk,86,0.0,2025-08-08 20:14:30,4642872,play.google.com
B2DA99D6FFC2EA6A69FADA040009E11AB12AAB3429449B72836F179140B00FD1,473196D2BE218667B836D1F59FBB636B9B23755E,681DF3984B29BC163961B1649F6E9F0C,1981-01-01 01:01:02,25155017,com.verizon.pushtotalkplus,4102,0.0,2025-11-17 09:22:27,7659256,play.google.com
305953CA04C4EA1BCDA1E68D12E68102659DE5A673D103A24A14B4D3C399AC72,37483B6815975000E056326B11FC005DF0CEEBB7,1B42F025C6E7E73FAA290CD015F2712A,1981-01-01 01:01:02,26007751,com.virtualmaze.offlinemapnavigationtracker,5128,,,9107764,play.google.com
E96E968F60B7A9E32CE0401F1F499367DC4431BA28C812D3940752EE057DD4E3,26B8006CE88F30396722CA60114679BDB43F3CA0,C4E9EAF6430505B3759D1E9413C92628,1981-01-01 01:01:02,16990132,com.wave.wtquiz,300,0.0,2025-09-11 08:33:36,7797144,play.google.com
C31D49DFA9A1AC353C560266C948F16CE43B08D07C1C9B04B89FC8271AB88A5E,B681C83B659B1C6502E13DC6DECE35B870C05CEB,3ED5C2C1D41ABE8BD20D40868DC5DAD2,1981-01-01 01:01:02,65833934,com.wavelengthlabs.airwave,910,0.0,2025-09-15 08:59:01,8816408,play.google.com
B31F75D9E40BC65F4B81A2E15A2620F2F597BED31002B0D6C85D8B8B7C7065A4,A0EC146D284B96EEC2125D2F1458A2D7567F6C9C,8572D8FAF100BAB069C04B859B500787,1981-01-01 01:01:02,13328573,com.zahidcataltas.mgrsharita,736,0.0,2025-06-18 06:05:02,8837116,play.google.com
6BFE5D49BB8AF94F2F9045257050702DFB0BA306BA5B3EB275A5B47BA2E9AF98,9BA67E65CD5C5FB475985D033EF3A06DEFCFD0B6,74C9A2489442B98778E809F728929024,1981-01-01 01:01:02,2158787,com.zxmsoft.pft_calculator,5,0.0,2025-10-07 02:56:08,1060620,play.google.com
6A9AF37DF3A36A8D1E144E44979E1983A5D5EF18AE2674EE2D146156CCED1EEB,167A4999F25271BF3559387E72CFFBEF92468700,6174A541711B346EF35AA91A6FF5A872,1981-01-01 01:01:02,13114124,info.yogantara.yytestgps,126,0.0,2025-09-09 08:06:24,7628520,play.google.com
AC78A409400975B1082D2178EC62669EC4D64D184C5DE466816B0F3EE0C5885E,0E102DA941493AB929BBC7566DC190663B3CF103,0BDCF306041923D5A1BB1EB17F855B28,1981-01-01 01:01:02,5363229,io.gonative.android.qlokpo,24,0.0,2025-10-03 07:07:39,4254520,play.google.com
DF28D559D4837DFC953C20DD3137BCD8288A390341FE4F45A7D4EF0803B1EEC9,739884B5079858CA805C018659456D3AD5AFCBE5,D86BB4E5356F5D1B407547D4FB610FEB,1981-01-01 01:01:02,6640912,my.ballistics,38,0.0,2025-02-08 07:06:52,8540704,play.google.com
FE1499E01EE5FC73AE9CAAE1ED91EED75BBD373CBCE80BBF1F2CF22AF28EEA4C,B9FA19CBC03F4D438DD1B5B2A9954FE37D48FCE3,B7F1E6B3FF7A7B2001EE3313A908856A,1981-01-01 01:01:02,11869463,network.talker.app,149,0.0,2025-10-28 10:25:27,7864652,play.google.com
DFEF5FCEC03C3733B15F733428C427223423CF0C988CB8BAF337BDF7E6AA8443,FF39CF96D11E15AD63F7C65BEEB434BEBE842569,C70BB9F9B000909209666C676430DAAC,1981-01-01 01:01:02,105620699,onxmaps.hunt,1020,0.0,2025-10-11 03:52:08,12888496,play.google.com
804AD0D48FD7126A849520C4DDB797FE9A263E66D2CCE83DC8029AC0396E7409,BF301B8EB39E3968A675AD2080AB2084D5F5203C,731BD8AC7BDF3451988C17E54A550848,1981-01-01 01:01:02,6799329,org.acftcalculator.acft,62,0.0,2025-12-12 04:44:22,7730568,play.google.com
ED92C64D4F859AF4EAE9F560F9AE3056FA4CF8677395D438B3602FD1D5D2B48E,F105C1695FBFAC09D17923F1520D2EA55C2B7675,C34F31E589E0667D0A286FBBF83225A9,1981-01-01 01:01:02,7420481,org.name.ACFTScoreCalculator,4,0.0,2022-07-25 18:56:55,9122364,play.google.com
7B5324144BE6BFB69F04B1F046844B855C9CE90804E58CE3BBFFFEA72E9A1D89,D394C904E03C9CC83B30C98EC821F28388DCA429,D66A152B3078B850D7F4BB0F4B4B2685,1981-01-01 01:01:02,16308881,pt.bluecover.gpsegnos,314,,,8524580,play.google.com
D309E4F774975E78F28FD95AE0741291C63B93D682B473F76DF65518E7DF5512,E9FA3182D1B134E23814C84635DF3E579E6DF219,E1D359A3715E6B6EBAE27834ACA22B89,1981-01-01 01:01:02,2731555,ua.rv.sashko.speaknato,37,0.0,2025-10-25 08:29:46,1577232,play.google.com
